date,run,rollouts_N,quality_avg,zeros_share,very_low_lt_0_2_share,leak_share,avg_words
20250802,COMPOSITERUN,253,0.000000,1.000000,1.000000,0.106719,31.45
20250802,NEWCOMPOSITERUN,254,0.555859,0.062500,0.082031,0.625984,126.10
20250802,NEWCOMPOSITERUN2,254,0.525328,0.058594,0.101562,0.661417,125.35
20250802,SEMANTICRUN,253,0.506914,0.074219,0.125000,0.632411,125.38
20250802,SEMANTICRUN_TIGHT_Q25,256,0.640719,0.011719,0.023438,0.304688,128.02
20250803,COMPOSITERUN,237,0.000000,1.000000,1.000000,0.118143,32.47
20250803,NEWCOMPOSITERUN,242,0.499359,0.076613,0.108871,0.673554,124.68
20250803,NEWCOMPOSITERUN2,245,0.434141,0.141129,0.193548,0.787755,122.27
20250803,SEMANTICRUN,247,0.504040,0.060484,0.100806,0.643725,127.06
20250803,SEMANTICRUN_TIGHT_Q25,248,0.618081,0.000000,0.020161,0.274194,129.04
20250804,COMPOSITERUN,242,0.000000,1.000000,1.000000,0.157025,30.24
20250804,NEWCOMPOSITERUN,255,0.506926,0.062500,0.105469,0.650980,128.12
20250804,NEWCOMPOSITERUN2,251,0.333008,0.265625,0.332031,0.800797,119.36
20250804,SEMANTICRUN,253,0.502930,0.078125,0.128906,0.683794,126.56
20250804,SEMANTICRUN_TIGHT_Q25,256,0.624613,0.007812,0.046875,0.226562,130.60
20250805,COMPOSITERUN,213,0.000000,1.000000,1.000000,0.164319,32.88
20250805,NEWCOMPOSITERUN,221,0.488116,0.102679,0.147321,0.642534,123.02
20250805,NEWCOMPOSITERUN2,218,0.273574,0.330357,0.375000,0.729358,118.28
20250805,SEMANTICRUN,222,0.465835,0.075893,0.138393,0.711712,130.77
20250805,SEMANTICRUN_TIGHT_Q25,224,0.672411,0.004464,0.004464,0.151786,130.91
20250806,COMPOSITERUN,188,0.000000,1.000000,1.000000,0.202128,30.13
20250806,NEWCOMPOSITERUN,215,0.451694,0.115741,0.152778,0.702326,122.63
20250806,NEWCOMPOSITERUN2,212,0.227861,0.407407,0.453704,0.688679,117.84
20250806,SEMANTICRUN,215,0.471370,0.101852,0.120370,0.679070,122.87
20250806,SEMANTICRUN_TIGHT_Q25,216,0.671069,0.004630,0.018519,0.148148,129.14
20250807,COMPOSITERUN,251,0.000000,1.000000,1.000000,0.135458,29.45
20250807,NEWCOMPOSITERUN,279,0.457579,0.121429,0.153571,0.741935,124.06
20250807,NEWCOMPOSITERUN2,263,0.197475,0.485714,0.507143,0.707224,120.53
20250807,SEMANTICRUN,276,0.428879,0.135714,0.214286,0.731884,122.75
