prediction_id,headline,rollout_id,method,ranking,reward,date,status
20250811_C3.ai’s_stock_plunge_0,"C3.ai’s stock plunges, and some analysts worry business trends could get worse",0,basic_stochastic,4,0.5714285714285714,20250811,evaluated
20250811_C3.ai’s_stock_plunge_1,"C3.ai’s stock plunges, and some analysts worry business trends could get worse",1,basic_stochastic,2,0.8571428571428572,20250811,evaluated
20250811_C3.ai’s_stock_plunge_2,"C3.ai’s stock plunges, and some analysts worry business trends could get worse",2,basic_stochastic,1,1.0,20250811,evaluated
20250811_C3.ai’s_stock_plunge_3,"C3.ai’s stock plunges, and some analysts worry business trends could get worse",3,basic_stochastic,7,0.1428571428571429,20250811,evaluated
20250811_C3.ai’s_stock_plunge_4,"C3.ai’s stock plunges, and some analysts worry business trends could get worse",4,basic_stochastic,8,0.0,20250811,evaluated
20250811_C3.ai’s_stock_plunge_5,"C3.ai’s stock plunges, and some analysts worry business trends could get worse",5,basic_stochastic,6,0.2857142857142857,20250811,evaluated
20250811_C3.ai’s_stock_plunge_6,"C3.ai’s stock plunges, and some analysts worry business trends could get worse",6,basic_stochastic,5,0.4285714285714286,20250811,evaluated
20250811_C3.ai’s_stock_plunge_7,"C3.ai’s stock plunges, and some analysts worry business trends could get worse",7,basic_stochastic,3,0.7142857142857143,20250811,evaluated
20250811_Nebius_Delivers_Exce_0,"Nebius Delivers Excellent Revenue Growth, But Can It Sustain The Momentum? (Rating Upgrade)",0,basic_stochastic,1,1.0,20250811,evaluated
20250811_Nebius_Delivers_Exce_1,"Nebius Delivers Excellent Revenue Growth, But Can It Sustain The Momentum? (Rating Upgrade)",1,basic_stochastic,2,0.8571428571428572,20250811,evaluated
20250811_Nebius_Delivers_Exce_2,"Nebius Delivers Excellent Revenue Growth, But Can It Sustain The Momentum? (Rating Upgrade)",2,basic_stochastic,3,0.7142857142857143,20250811,evaluated
20250811_Nebius_Delivers_Exce_3,"Nebius Delivers Excellent Revenue Growth, But Can It Sustain The Momentum? (Rating Upgrade)",3,basic_stochastic,4,0.5714285714285714,20250811,evaluated
20250811_Nebius_Delivers_Exce_4,"Nebius Delivers Excellent Revenue Growth, But Can It Sustain The Momentum? (Rating Upgrade)",4,basic_stochastic,5,0.4285714285714286,20250811,evaluated
20250811_Nebius_Delivers_Exce_5,"Nebius Delivers Excellent Revenue Growth, But Can It Sustain The Momentum? (Rating Upgrade)",5,basic_stochastic,6,0.2857142857142857,20250811,evaluated
20250811_Nebius_Delivers_Exce_6,"Nebius Delivers Excellent Revenue Growth, But Can It Sustain The Momentum? (Rating Upgrade)",6,basic_stochastic,7,0.1428571428571429,20250811,evaluated
20250811_Nebius_Delivers_Exce_7,"Nebius Delivers Excellent Revenue Growth, But Can It Sustain The Momentum? (Rating Upgrade)",7,basic_stochastic,8,0.0,20250811,evaluated
"20250811_WW_International,_In_0","WW International, Inc. (WW) Q2 2025 Earnings Call Transcript",0,basic_stochastic,3,0.7142857142857143,20250811,evaluated
"20250811_WW_International,_In_1","WW International, Inc. (WW) Q2 2025 Earnings Call Transcript",1,basic_stochastic,7,0.1428571428571429,20250811,evaluated
"20250811_WW_International,_In_2","WW International, Inc. (WW) Q2 2025 Earnings Call Transcript",2,basic_stochastic,5,0.4285714285714286,20250811,evaluated
"20250811_WW_International,_In_3","WW International, Inc. (WW) Q2 2025 Earnings Call Transcript",3,basic_stochastic,1,1.0,20250811,evaluated
"20250811_WW_International,_In_4","WW International, Inc. (WW) Q2 2025 Earnings Call Transcript",4,basic_stochastic,8,0.0,20250811,evaluated
"20250811_WW_International,_In_5","WW International, Inc. (WW) Q2 2025 Earnings Call Transcript",5,basic_stochastic,2,0.8571428571428572,20250811,evaluated
"20250811_WW_International,_In_6","WW International, Inc. (WW) Q2 2025 Earnings Call Transcript",6,basic_stochastic,4,0.5714285714285714,20250811,evaluated
"20250811_WW_International,_In_7","WW International, Inc. (WW) Q2 2025 Earnings Call Transcript",7,basic_stochastic,6,0.2857142857142857,20250811,evaluated
20250811_Customers_have_been__0,"Customers have been spared most of the tariff costs so far, Goldman Sachs finds",0,basic_stochastic,2,0.8571428571428572,20250811,evaluated
20250811_Customers_have_been__1,"Customers have been spared most of the tariff costs so far, Goldman Sachs finds",1,basic_stochastic,4,0.5714285714285714,20250811,evaluated
20250811_Customers_have_been__2,"Customers have been spared most of the tariff costs so far, Goldman Sachs finds",2,basic_stochastic,6,0.2857142857142857,20250811,evaluated
20250811_Customers_have_been__3,"Customers have been spared most of the tariff costs so far, Goldman Sachs finds",3,basic_stochastic,1,1.0,20250811,evaluated
20250811_Customers_have_been__4,"Customers have been spared most of the tariff costs so far, Goldman Sachs finds",4,basic_stochastic,7,0.1428571428571429,20250811,evaluated
20250811_Customers_have_been__5,"Customers have been spared most of the tariff costs so far, Goldman Sachs finds",5,basic_stochastic,5,0.4285714285714286,20250811,evaluated
20250811_Customers_have_been__6,"Customers have been spared most of the tariff costs so far, Goldman Sachs finds",6,basic_stochastic,8,0.0,20250811,evaluated
20250811_Customers_have_been__7,"Customers have been spared most of the tariff costs so far, Goldman Sachs finds",7,basic_stochastic,3,0.7142857142857143,20250811,evaluated
20250811_Morgan_Stanley’s_bol_0,Morgan Stanley’s bold bet: Lower-quality stocks are about to take over,0,basic_stochastic,5,0.4285714285714286,20250811,evaluated
20250811_Morgan_Stanley’s_bol_1,Morgan Stanley’s bold bet: Lower-quality stocks are about to take over,1,basic_stochastic,6,0.2857142857142857,20250811,evaluated
20250811_Morgan_Stanley’s_bol_2,Morgan Stanley’s bold bet: Lower-quality stocks are about to take over,2,basic_stochastic,7,0.1428571428571429,20250811,evaluated
20250811_Morgan_Stanley’s_bol_3,Morgan Stanley’s bold bet: Lower-quality stocks are about to take over,3,basic_stochastic,1,1.0,20250811,evaluated
20250811_Morgan_Stanley’s_bol_4,Morgan Stanley’s bold bet: Lower-quality stocks are about to take over,4,basic_stochastic,3,0.7142857142857143,20250811,evaluated
20250811_Morgan_Stanley’s_bol_5,Morgan Stanley’s bold bet: Lower-quality stocks are about to take over,5,basic_stochastic,8,0.0,20250811,evaluated
20250811_Morgan_Stanley’s_bol_6,Morgan Stanley’s bold bet: Lower-quality stocks are about to take over,6,basic_stochastic,4,0.5714285714285714,20250811,evaluated
20250811_Morgan_Stanley’s_bol_7,Morgan Stanley’s bold bet: Lower-quality stocks are about to take over,7,basic_stochastic,2,0.8571428571428572,20250811,evaluated
20250811_Why_The_Impact_Of_Ta_0,Why The Impact Of Tariffs Is Not Yet Reflected In The CPI,0,basic_stochastic,4,0.5714285714285714,20250811,evaluated
20250811_Why_The_Impact_Of_Ta_1,Why The Impact Of Tariffs Is Not Yet Reflected In The CPI,1,basic_stochastic,1,1.0,20250811,evaluated
20250811_Why_The_Impact_Of_Ta_2,Why The Impact Of Tariffs Is Not Yet Reflected In The CPI,2,basic_stochastic,5,0.4285714285714286,20250811,evaluated
20250811_Why_The_Impact_Of_Ta_3,Why The Impact Of Tariffs Is Not Yet Reflected In The CPI,3,basic_stochastic,6,0.2857142857142857,20250811,evaluated
20250811_Why_The_Impact_Of_Ta_4,Why The Impact Of Tariffs Is Not Yet Reflected In The CPI,4,basic_stochastic,7,0.1428571428571429,20250811,evaluated
20250811_Why_The_Impact_Of_Ta_5,Why The Impact Of Tariffs Is Not Yet Reflected In The CPI,5,basic_stochastic,2,0.8571428571428572,20250811,evaluated
20250811_Why_The_Impact_Of_Ta_6,Why The Impact Of Tariffs Is Not Yet Reflected In The CPI,6,basic_stochastic,8,0.0,20250811,evaluated
20250811_Why_The_Impact_Of_Ta_7,Why The Impact Of Tariffs Is Not Yet Reflected In The CPI,7,basic_stochastic,3,0.7142857142857143,20250811,evaluated
20250811_L.B._Foster_Company__0,L.B. Foster Company 2025 Q2 - Results - Earnings Call Presentation,0,basic_stochastic,8,0.0,20250811,evaluated
20250811_L.B._Foster_Company__1,L.B. Foster Company 2025 Q2 - Results - Earnings Call Presentation,1,basic_stochastic,6,0.2857142857142857,20250811,evaluated
20250811_L.B._Foster_Company__2,L.B. Foster Company 2025 Q2 - Results - Earnings Call Presentation,2,basic_stochastic,7,0.1428571428571429,20250811,evaluated
20250811_L.B._Foster_Company__3,L.B. Foster Company 2025 Q2 - Results - Earnings Call Presentation,3,basic_stochastic,2,0.8571428571428572,20250811,evaluated
20250811_L.B._Foster_Company__4,L.B. Foster Company 2025 Q2 - Results - Earnings Call Presentation,4,basic_stochastic,1,1.0,20250811,evaluated
20250811_L.B._Foster_Company__5,L.B. Foster Company 2025 Q2 - Results - Earnings Call Presentation,5,basic_stochastic,4,0.5714285714285714,20250811,evaluated
20250811_L.B._Foster_Company__6,L.B. Foster Company 2025 Q2 - Results - Earnings Call Presentation,6,basic_stochastic,5,0.4285714285714286,20250811,evaluated
20250811_L.B._Foster_Company__7,L.B. Foster Company 2025 Q2 - Results - Earnings Call Presentation,7,basic_stochastic,3,0.7142857142857143,20250811,evaluated
20250811_L.B._Foster_Company__0,L.B. Foster Company (FSTR) Q2 2025 Earnings Call Transcript,0,basic_stochastic,3,0.7142857142857143,20250811,evaluated
20250811_L.B._Foster_Company__1,L.B. Foster Company (FSTR) Q2 2025 Earnings Call Transcript,1,basic_stochastic,2,0.8571428571428572,20250811,evaluated
