prediction_id,headline,rollout_id,method,ranking,reward,date,status
20250802_trivago_Is_Now_Fairl_0,"trivago Is Now Fairly Valued With Strong Financials, But Still Not Worth Buying",0,basic_stochastic,4,0.5714285714285714,20250802,evaluated
20250802_trivago_Is_Now_Fairl_1,"trivago Is Now Fairly Valued With Strong Financials, But Still Not Worth Buying",1,basic_stochastic,2,0.8571428571428572,20250802,evaluated
20250802_trivago_Is_Now_Fairl_2,"trivago Is Now Fairly Valued With Strong Financials, But Still Not Worth Buying",2,basic_stochastic,8,0.0,20250802,evaluated
20250802_trivago_Is_Now_Fairl_3,"trivago Is Now Fairly Valued With Strong Financials, But Still Not Worth Buying",3,basic_stochastic,15,-1.0,20250802,evaluated
20250802_trivago_Is_Now_Fairl_4,"trivago Is Now Fairly Valued With Strong Financials, But Still Not Worth Buying",4,basic_stochastic,6,0.2857142857142857,20250802,evaluated
20250802_trivago_Is_Now_Fairl_5,"trivago Is Now Fairly Valued With Strong Financials, But Still Not Worth Buying",5,basic_stochastic,12,-0.5714285714285714,20250802,evaluated
20250802_trivago_Is_Now_Fairl_6,"trivago Is Now Fairly Valued With Strong Financials, But Still Not Worth Buying",6,basic_stochastic,10,-0.2857142857142858,20250802,evaluated
20250802_trivago_Is_Now_Fairl_7,"trivago Is Now Fairly Valued With Strong Financials, But Still Not Worth Buying",7,basic_stochastic,14,-0.8571428571428572,20250802,evaluated
"20250802_CEZ,_a._s._2025_Q2_-_0","CEZ, a. s. 2025 Q2 - Results - Earnings Call Presentation",0,basic_stochastic,2,0.8571428571428572,20250802,evaluated
"20250802_CEZ,_a._s._2025_Q2_-_1","CEZ, a. s. 2025 Q2 - Results - Earnings Call Presentation",1,basic_stochastic,4,0.5714285714285714,20250802,evaluated
"20250802_CEZ,_a._s._2025_Q2_-_2","CEZ, a. s. 2025 Q2 - Results - Earnings Call Presentation",2,basic_stochastic,6,0.2857142857142857,20250802,evaluated
"20250802_CEZ,_a._s._2025_Q2_-_3","CEZ, a. s. 2025 Q2 - Results - Earnings Call Presentation",3,basic_stochastic,8,0.0,20250802,evaluated
"20250802_CEZ,_a._s._2025_Q2_-_4","CEZ, a. s. 2025 Q2 - Results - Earnings Call Presentation",4,basic_stochastic,12,-0.5714285714285714,20250802,evaluated
"20250802_CEZ,_a._s._2025_Q2_-_5","CEZ, a. s. 2025 Q2 - Results - Earnings Call Presentation",5,basic_stochastic,14,-0.8571428571428572,20250802,evaluated
"20250802_CEZ,_a._s._2025_Q2_-_6","CEZ, a. s. 2025 Q2 - Results - Earnings Call Presentation",6,basic_stochastic,10,-0.2857142857142858,20250802,evaluated
"20250802_CEZ,_a._s._2025_Q2_-_7","CEZ, a. s. 2025 Q2 - Results - Earnings Call Presentation",7,basic_stochastic,15,-1.0,20250802,evaluated
"20250802_CEZ,_a._s._(CEZYY)_Q_0","CEZ, a. s. (CEZYY) Q2 2025 Earnings Call Transcript",0,basic_stochastic,2,0.8571428571428572,20250802,evaluated
"20250802_CEZ,_a._s._(CEZYY)_Q_1","CEZ, a. s. (CEZYY) Q2 2025 Earnings Call Transcript",1,basic_stochastic,6,0.2857142857142857,20250802,evaluated
"20250802_CEZ,_a._s._(CEZYY)_Q_2","CEZ, a. s. (CEZYY) Q2 2025 Earnings Call Transcript",2,basic_stochastic,8,0.0,20250802,evaluated
"20250802_CEZ,_a._s._(CEZYY)_Q_3","CEZ, a. s. (CEZYY) Q2 2025 Earnings Call Transcript",3,basic_stochastic,10,-0.2857142857142858,20250802,evaluated
"20250802_CEZ,_a._s._(CEZYY)_Q_4","CEZ, a. s. (CEZYY) Q2 2025 Earnings Call Transcript",4,basic_stochastic,14,-0.8571428571428572,20250802,evaluated
"20250802_CEZ,_a._s._(CEZYY)_Q_5","CEZ, a. s. (CEZYY) Q2 2025 Earnings Call Transcript",5,basic_stochastic,12,-0.5714285714285714,20250802,evaluated
"20250802_CEZ,_a._s._(CEZYY)_Q_6","CEZ, a. s. (CEZYY) Q2 2025 Earnings Call Transcript",6,basic_stochastic,15,-1.0,20250802,evaluated
"20250802_CEZ,_a._s._(CEZYY)_Q_7","CEZ, a. s. (CEZYY) Q2 2025 Earnings Call Transcript",7,basic_stochastic,4,0.5714285714285714,20250802,evaluated
20250802_Investors_are_now_le_0,"Investors are now less concerned about tariffs than the economy, says BofA survey. Why that could be a mistake.",0,basic_stochastic,2,0.8571428571428572,20250802,evaluated
