prediction_id,headline,rollout_id,method,ranking,reward,date,status
20250810_CEF_For_Both_Gold_An_0,CEF For Both Gold And Silver,0,basic_stochastic,6,0.2857142857142857,20250810,evaluated
20250810_CEF_For_Both_Gold_An_1,CEF For Both Gold And Silver,1,basic_stochastic,2,0.8571428571428572,20250810,evaluated
20250810_CEF_For_Both_Gold_An_2,CEF For Both Gold And Silver,2,basic_stochastic,8,0.0,20250810,evaluated
20250810_CEF_For_Both_Gold_An_3,CEF For Both Gold And Silver,3,basic_stochastic,3,0.7142857142857143,20250810,evaluated
20250810_CEF_For_Both_Gold_An_4,CEF For Both Gold And Silver,4,basic_stochastic,4,0.5714285714285714,20250810,evaluated
20250810_CEF_For_Both_Gold_An_5,CEF For Both Gold And Silver,5,basic_stochastic,7,0.1428571428571429,20250810,evaluated
20250810_CEF_For_Both_Gold_An_6,CEF For Both Gold And Silver,6,basic_stochastic,1,1.0,20250810,evaluated
20250810_CEF_For_Both_Gold_An_7,CEF For Both Gold And Silver,7,basic_stochastic,5,0.4285714285714286,20250810,evaluated
20250810_Singapore_Exchange_L_0,Singapore Exchange Ltd. (SPXCF) Q4 2025 Earnings Call Transcript,0,basic_stochastic,1,1.0,20250810,evaluated
20250810_Singapore_Exchange_L_1,Singapore Exchange Ltd. (SPXCF) Q4 2025 Earnings Call Transcript,1,basic_stochastic,2,0.8571428571428572,20250810,evaluated
20250810_Singapore_Exchange_L_2,Singapore Exchange Ltd. (SPXCF) Q4 2025 Earnings Call Transcript,2,basic_stochastic,3,0.7142857142857143,20250810,evaluated
20250810_Singapore_Exchange_L_3,Singapore Exchange Ltd. (SPXCF) Q4 2025 Earnings Call Transcript,3,basic_stochastic,4,0.5714285714285714,20250810,evaluated
20250810_Singapore_Exchange_L_4,Singapore Exchange Ltd. (SPXCF) Q4 2025 Earnings Call Transcript,4,basic_stochastic,5,0.4285714285714286,20250810,evaluated
20250810_Singapore_Exchange_L_5,Singapore Exchange Ltd. (SPXCF) Q4 2025 Earnings Call Transcript,5,basic_stochastic,6,0.2857142857142857,20250810,evaluated
20250810_Singapore_Exchange_L_6,Singapore Exchange Ltd. (SPXCF) Q4 2025 Earnings Call Transcript,6,basic_stochastic,7,0.1428571428571429,20250810,evaluated
