prediction_id,headline,rollout_id,method,ranking,reward,date,status
20250808_next_day_Enerflex_Ltd._2025_Q_0,Enerflex Ltd. 2025 Q2 - Results - Earnings Call Presentation,0,basic_stochastic,3,0.7142857142857143,20250808,evaluated
20250808_next_day_Enerflex_Ltd._2025_Q_1,Enerflex Ltd. 2025 Q2 - Results - Earnings Call Presentation,1,basic_stochastic,6,0.2857142857142857,20250808,evaluated
20250808_next_day_Enerflex_Ltd._2025_Q_2,Enerflex Ltd. 2025 Q2 - Results - Earnings Call Presentation,2,basic_stochastic,4,0.5714285714285714,20250808,evaluated
20250808_next_day_Enerflex_Ltd._2025_Q_3,Enerflex Ltd. 2025 Q2 - Results - Earnings Call Presentation,3,basic_stochastic,8,0.0,20250808,evaluated
20250808_next_day_Enerflex_Ltd._2025_Q_4,Enerflex Ltd. 2025 Q2 - Results - Earnings Call Presentation,4,basic_stochastic,2,0.8571428571428572,20250808,evaluated
20250808_next_day_Enerflex_Ltd._2025_Q_5,Enerflex Ltd. 2025 Q2 - Results - Earnings Call Presentation,5,basic_stochastic,5,0.4285714285714286,20250808,evaluated
20250808_next_day_Enerflex_Ltd._2025_Q_6,Enerflex Ltd. 2025 Q2 - Results - Earnings Call Presentation,6,basic_stochastic,1,1.0,20250808,evaluated
20250808_next_day_Enerflex_Ltd._2025_Q_7,Enerflex Ltd. 2025 Q2 - Results - Earnings Call Presentation,7,basic_stochastic,7,0.1428571428571429,20250808,evaluated
20250808_next_day_Berry_Corporation_20_0,Berry Corporation 2025 Q2 - Results - Earnings Call Presentation,0,basic_stochastic,1,1.0,20250808,evaluated
20250808_next_day_Berry_Corporation_20_1,Berry Corporation 2025 Q2 - Results - Earnings Call Presentation,1,basic_stochastic,7,0.1428571428571429,20250808,evaluated
20250808_next_day_Berry_Corporation_20_2,Berry Corporation 2025 Q2 - Results - Earnings Call Presentation,2,basic_stochastic,6,0.2857142857142857,20250808,evaluated
20250808_next_day_Berry_Corporation_20_3,Berry Corporation 2025 Q2 - Results - Earnings Call Presentation,3,basic_stochastic,4,0.5714285714285714,20250808,evaluated
20250808_next_day_Berry_Corporation_20_4,Berry Corporation 2025 Q2 - Results - Earnings Call Presentation,4,basic_stochastic,2,0.8571428571428572,20250808,evaluated
20250808_next_day_Berry_Corporation_20_5,Berry Corporation 2025 Q2 - Results - Earnings Call Presentation,5,basic_stochastic,3,0.7142857142857143,20250808,evaluated
20250808_next_day_Berry_Corporation_20_6,Berry Corporation 2025 Q2 - Results - Earnings Call Presentation,6,basic_stochastic,5,0.4285714285714286,20250808,evaluated
20250808_next_day_Berry_Corporation_20_7,Berry Corporation 2025 Q2 - Results - Earnings Call Presentation,7,basic_stochastic,8,0.0,20250808,evaluated
20250808_next_day_Barings_BDC_Inc_(BBD_0,Barings BDC Inc (BBDC) Q2 2025 Earnings Call Transcript,0,basic_stochastic,1,1.0,20250808,evaluated
20250808_next_day_Barings_BDC_Inc_(BBD_1,Barings BDC Inc (BBDC) Q2 2025 Earnings Call Transcript,1,basic_stochastic,8,0.0,20250808,evaluated
20250808_next_day_Barings_BDC_Inc_(BBD_2,Barings BDC Inc (BBDC) Q2 2025 Earnings Call Transcript,2,basic_stochastic,7,0.1428571428571429,20250808,evaluated
20250808_next_day_Barings_BDC_Inc_(BBD_3,Barings BDC Inc (BBDC) Q2 2025 Earnings Call Transcript,3,basic_stochastic,5,0.4285714285714286,20250808,evaluated
20250808_next_day_Barings_BDC_Inc_(BBD_4,Barings BDC Inc (BBDC) Q2 2025 Earnings Call Transcript,4,basic_stochastic,2,0.8571428571428572,20250808,evaluated
20250808_next_day_Barings_BDC_Inc_(BBD_5,Barings BDC Inc (BBDC) Q2 2025 Earnings Call Transcript,5,basic_stochastic,6,0.2857142857142857,20250808,evaluated
20250808_next_day_Barings_BDC_Inc_(BBD_6,Barings BDC Inc (BBDC) Q2 2025 Earnings Call Transcript,6,basic_stochastic,4,0.5714285714285714,20250808,evaluated
20250808_next_day_Barings_BDC_Inc_(BBD_7,Barings BDC Inc (BBDC) Q2 2025 Earnings Call Transcript,7,basic_stochastic,3,0.7142857142857143,20250808,evaluated
20250808_next_day_Alliant_Energy_Corpo_0,Alliant Energy Corporation (LNT) Q2 2025 Earnings Call Transcript,0,basic_stochastic,1,1.0,20250808,evaluated
20250808_next_day_Alliant_Energy_Corpo_1,Alliant Energy Corporation (LNT) Q2 2025 Earnings Call Transcript,1,basic_stochastic,2,0.8571428571428572,20250808,evaluated
20250808_next_day_Alliant_Energy_Corpo_2,Alliant Energy Corporation (LNT) Q2 2025 Earnings Call Transcript,2,basic_stochastic,5,0.4285714285714286,20250808,evaluated
20250808_next_day_Alliant_Energy_Corpo_3,Alliant Energy Corporation (LNT) Q2 2025 Earnings Call Transcript,3,basic_stochastic,7,0.1428571428571429,20250808,evaluated
20250808_next_day_Alliant_Energy_Corpo_4,Alliant Energy Corporation (LNT) Q2 2025 Earnings Call Transcript,4,basic_stochastic,3,0.7142857142857143,20250808,evaluated
20250808_next_day_Alliant_Energy_Corpo_5,Alliant Energy Corporation (LNT) Q2 2025 Earnings Call Transcript,5,basic_stochastic,8,0.0,20250808,evaluated
20250808_next_day_Alliant_Energy_Corpo_6,Alliant Energy Corporation (LNT) Q2 2025 Earnings Call Transcript,6,basic_stochastic,6,0.2857142857142857,20250808,evaluated
20250808_next_day_Alliant_Energy_Corpo_7,Alliant Energy Corporation (LNT) Q2 2025 Earnings Call Transcript,7,basic_stochastic,4,0.5714285714285714,20250808,evaluated
20250808_next_day_Enerflex_Ltd._(EFXT)_0,Enerflex Ltd. (EFXT) Q2 2025 Earnings Call Transcript,0,basic_stochastic,2,0.8571428571428572,20250808,evaluated
20250808_next_day_Enerflex_Ltd._(EFXT)_1,Enerflex Ltd. (EFXT) Q2 2025 Earnings Call Transcript,1,basic_stochastic,8,0.0,20250808,evaluated
20250808_next_day_Enerflex_Ltd._(EFXT)_2,Enerflex Ltd. (EFXT) Q2 2025 Earnings Call Transcript,2,basic_stochastic,3,0.7142857142857143,20250808,evaluated
